tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
107,1,210,0,0,34.4232,229.8,212,0
108,1,210,0,0,405.751,210.2,212,0
109,1,212,0,0,0,0,0,0
110,1,212,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 218.1 ocurrencia numero: 40
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
105,1,210,0,0,213.4,77.1963,217,0
106,1,210,0,0,226.6,363.593,217,0
107,1,210,0,0,77.9772,229.8,217,0
108,1,210,0,0,361.509,210.2,217,0
109,1,212,0,0,210.2,55.3005,217,0
110,1,212,0,0,229.8,384.717,217,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 223.1 ocurrencia numero: 41
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
105,1,210,0,0,213.4,125.291,222,0
106,1,210,0,0,226.6,315.522,222,0
107,1,210,0,0,110.2,260.091,222,0
108,1,210,0,0,329.8,172.433,222,0
109,1,212,0,0,210.2,110.33,222,0
110,1,212,0,0,229.8,329.753,222,0
111,1,220,0,0,210.2,34.3804,222,0
112,1,220,0,0,229.8,405.741,222,0
113,1,220,0,0,34.3371,229.8,222,0
114,1,220,0,0,405.92,210.2,222,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 228.1 ocurrencia numero: 42
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
105,1,210,1,0,213.4,172.944,227,1
106,1,210,1,0,226.6,262.863,227,0
107,1,210,0,0,110.2,320.43,227,0
108,1,210,0,0,322.905,110.2,227,0
109,1,212,0,0,210.2,157.71,227,0
110,1,212,0,0,229.8,281.409,227,0
111,1,220,0,0,210.2,78.7169,227,0
112,1,220,0,0,229.8,363.145,227,0
113,1,220,0,0,76.8471,229.8,227,0
114,1,220,0,0,364.287,210.2,227,0
paquetes recibidos, entidades en rango 
2,4

resumen+++
id entidad que provoca incidente: 
5
lugar de incidente (x,y): 
243.854,229.8
tiempo de inicio y fin de incidente: 
21,221
cadena payload: 
roadId = BB00:0::0:5:0:243.854156:229.800003:21::0.037000:0.083333:0.021000:0.006000::5::E60;
longitud header: 
20
longitud payload: 
93
datos completos del paquete: 
(Packet)notificar  (500 B) [Ieee80211OfdmPhyHeader, rate = 0, reserved = false, parity = false, tail = 0, service = 0 | Ieee80211DataHeader, address4 = 00-00-00-00-00-00, ackPolicy = 0 (NORMAL_ACK), tid = 0, aMsduPresent = false | Ieee802EpdHeader, etherType = 2048 | Ipv4Header, version = 4, headerLength = 20 B, typeOfService = 0, totalLengthField = 528 B, identification = 41, reservedBit = false, moreFragments = false, dontFragment = false, fragmentOffset = 0, timeToLive = 1, protocolId = 17 (IP_PROT_UDP), crc = 49165, crcMode = 1 (CRC_DECLARED_CORRECT), srcAddress = 10.0.0.41, destAddress = 224.0.0.1, options =  | UdpHeader, srcPort = 9001, destPort = 9001, totalLengthField = 508 B, crc = c00d, crcMode = 1 (CRC_DECLARED_CORRECT) | VeinsInetSampleMessage, roadId = BB00:0::0:5:0:243.854156:229.800003:21::0.037000:0.083333:0.021000:0.006000::5::E60; | Ieee80211MacTrailer, fcs = 0, fcsMode = 1 (FCS_DECLARED_CORRECT) | BitCountChunk, data = 0]
veces que se envio mensaje de emergencia u ocurrencia: 
42
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x, mi y, distancia al recibir, tiempo de recepcion, si hago desvio: 
0,1,0,46,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0
5,1,0,45,0,254.094,229.8,10.2398,22,0
6,1,0,11,0,236.401,210.2,27.0532,22,0
7,1,10,3,0,213.4,197.757,62.4969,32,1
8,1,10,15,0,226.6,253.532,40.9864,27,0
9,1,10,0,0,0,0,0,0,0
10,1,10,0,0,0,0,0,0,0
11,1,20,2,0,210.2,175.713,87.7407,37,0
12,1,20,13,0,229.8,264.794,49.0486,37,1
13,1,20,19,0,179.848,229.8,64.0061,37,1
14,1,20,7,0,259.662,210.2,35.4074,37,0
15,1,30,2,0,213.4,184.477,75.7771,47,1
16,1,30,11,0,226.6,257.928,45.3825,47,0
17,1,30,0,0,0,0,0,0,0
18,1,30,0,0,0,0,0,0,0
19,1,32,2,0,210.2,199.284,64.1698,52,0
20,1,32,10,0,229.8,245.306,29.5599,52,0
21,1,40,19,0,210.2,203.599,59.8552,62,0
22,1,40,10,0,229.8,261.217,45.4707,57,1
